"id","question_id","option_text","is_correct","media_type","media_content"
1,1,"Java, API, Markup",false,,
2,1,"JavaScript, ASP, Markup",false,,
3,1,"Java, ASP, Markup",false,,
4,1,"JavaScript, API, Markup",true,,
5,2,Sir Tim Berners-Lee,false,,
6,2,Roy Fielding,false,,
7,2,Mathias Biilmann,true,,
8,2,None of the above,false,,
9,3,Progressive World App,false,,
10,3,Permanent Web App,false,,
11,3,Progressive Web App,true,,
12,3,None of the above,false,,
13,4,Simple Page App,false,,
14,4,Single Page App,true,,
15,4,Single page Asset,false,,
16,4,None of the above,false,,
17,5,"5000",true,,
18,5,"8000",false,,
19,5,"8080",false,,
20,5,"3000",false,,
21,6,,false,code,<applet code=“appletdemo.class”> </applet>
22,6,,false,code,<applet code = “appletdemo” > </applet>
23,6,Both 1 and 2,true,,
24,6,None of the above,false,,
25,7,It is used to display alternative text in case the browser does not support Java.,true,,
26,7,It is used to display alternative text in case JavaScript is disabled in the browser.,false,,
27,7,It is used to display the title for the applet.,false,,
28,7,None of the above,false,,
29,8,JavaScript can be used for DOM manipulation.,true,,
30,8,"Being a client side scripting language, it reduces the load on the server.",true,,
31,8,JavaScript cannot be used in the backend.,false,,
32,8,All of the above,false,,
33,9,DOM Manipulation,false,,
34,9,Asynchronous Processing,false,,
35,9,Event Loop,false,,
36,9,All of the above,true,,
37,10,It is a special program that can be run by a browser's java virtual machine.,true,,
38,10,It is a programming language.,false,,
39,10,Applets are written in java.,true,,
40,10,It can be embedded in HTML documents.,true,,
41,11,Mozilla Firefox,true,,
42,11,Google Chrome,false,,
43,11,Internet Explorer,false,,
44,11,Safari,false,,
45,12,JavaScript always requires a browser for its execution.,false,,
46,12,JavaScript cannot be invoked using command line.,false,,
47,12,JavaScript always requires a document context in order to be executed.,false,,
48,12,All of the above,true,,
49,13,"5",false,,
50,13,undefined,false,,
51,13,,false,,
52,13,Reference Error,true,,
53,14,AJAX is an acronym for Asynchronous JavaScript and XML.,true,,
